institution,qid,wikidata_label,wikidata_description,country,match_status
Austrian Gallery Belvedere,,,,,not_found
Catholic University of Leuven,Q833670,Katholieke Universiteit Leuven,"University since 1968 with its main campus in Leuven, Belgium",Belgium,matched
Digital Library for Dutch Literature,,,,,not_found
Digital Memory of Catalonia,,,,,not_found
Finnish National Gallery,Q2983474,Finnish National Gallery,organization of three museums that make up the largest art museum institution of Finland,Finland,matched
International Institute of Social History,Q1667757,International Institute of Social History,historical research institute in Amsterdam,Netherlands,matched
Nationalmuseum Sweden,Q842858,Nationalmuseum,"art museum in Stockholm, Sweden",Sweden,matched
Swedish Air Force Museum,Q1434569,Swedish Air Force Museum,Swedish military museum,Sweden,matched
"The Israel Museum, Jerusalem",Q46815,Israel Museum,national museum of the state of Israel in Jerusalem,Israel,matched
Wellcome Collection,Q7981191,Wellcome Collection,"museum and library in London, United Kingdom",United Kingdom,matched
