id,title,type,institution,country,year,matched_variant
/2024903/photography_ProvidedCHO_KU_Leuven_9990751870101488,Vincent van Gogh. Self portrait as painter,IMAGE,Catholic University of Leuven,Belgium,1888,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990751940101488,Vincent van Gogh. Korenveld met cypressen,IMAGE,Catholic University of Leuven,Belgium,1889,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752030101488,Vincent van Gogh. Olijfgaard,IMAGE,Catholic University of Leuven,Belgium,1889,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752060101488,Vincent van Gogh. Treurende oude man,IMAGE,Catholic University of Leuven,Belgium,1890,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752070101488,Vincent van Gogh. Landschap in de Provence bij nacht,IMAGE,Catholic University of Leuven,Belgium,1890,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752110101488,Vincent van Gogh. Landschap met trein op de achtergrond,IMAGE,Catholic University of Leuven,Belgium,1890,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752200101488,Vincent van Gogh. Dokter Paul Gachet,IMAGE,Catholic University of Leuven,Belgium,1890,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752210101488,Vincent van Gogh. Père Tanguy,IMAGE,Catholic University of Leuven,Belgium,1887,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752410101488,Vincent van Gogh. La Berceuse (portrait of Madame Roulin),IMAGE,Catholic University of Leuven,Belgium,1889,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752420101488,Vincent van Gogh. The ravine (Les Peiroulets),IMAGE,Catholic University of Leuven,Belgium,1889,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752560101488,Vincent van Gogh. La méridienne,IMAGE,Catholic University of Leuven,Belgium,1890,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990752610101488,Vincent van Gogh. Weg achter de pastorietuin te Nuenen,IMAGE,Catholic University of Leuven,Belgium,,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990940170101488,Vincent van Gogh. De hut,IMAGE,Catholic University of Leuven,Belgium,1885,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990940210101488,Vincent van Gogh. Bridge at Arles (Pont de Langlois),IMAGE,Catholic University of Leuven,Belgium,1888,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990940230101488,Vincent van Gogh. Sunflowers,IMAGE,Catholic University of Leuven,Belgium,1889,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990940270101488,Vincent van Gogh. The Harvest,IMAGE,Catholic University of Leuven,Belgium,1888,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990940300101488,Vincent van Gogh. Portret van Armand Roulin,IMAGE,Catholic University of Leuven,Belgium,1888,Vincent van Gogh
/2024903/photography_ProvidedCHO_KU_Leuven_9990940320101488,Vincent van Gogh. Portret van Marcelle Roulin,IMAGE,Catholic University of Leuven,Belgium,1888,Vincent van Gogh
/1320/https___id_kulturpool_at_8d8cf180_1ee0_484b_8dd7_040785a6418c_cho,Stillleben mit fünf Flaschen,IMAGE,Austrian Gallery Belvedere,Austria,1884,Vincent van Gogh
/1320/https___id_kulturpool_at_d8ee147a_a3c3_438d_8641_92de48813b03_cho,Die Ebene von Auvers,IMAGE,Austrian Gallery Belvedere,Austria,1890,Vincent van Gogh
